Measure,sex,Age,Year,No. of deaths,Upper bound,Lower Bound
Deaths,Male,15-19,2000,55.80035277018744,85.43730332591906,32.038273248097966
Deaths,Female,15-19,2000,66.40150705462739,108.32817775386476,37.30120523980647
Deaths,Male,20-24,2000,87.93869035439485,125.09410827197242,52.51661982566984
Deaths,Female,20-24,2000,82.08254667007114,129.7144268737472,45.03575337970567
Deaths,Male,25-29,2000,72.24763742564498,101.83499316231337,46.4538558831654
Deaths,Female,25-29,2000,41.73122675926044,69.57636116720607,22.221708757171097
Deaths,Male,30-34,2000,180.95042086759452,249.03577773840755,123.33371371743436
Deaths,Female,30-34,2000,149.47854756917025,235.4468030467836,83.27594585566743
Deaths,Male,35-39,2000,369.2322104974624,514.3619969601178,247.5445912398781
Deaths,Female,35-39,2000,174.83342463077267,273.5856586670563,95.8602414386924
Deaths,Male,40-44,2000,684.073018294647,957.9634500459214,450.7123260167538
Deaths,Female,40-44,2000,312.4375841621649,470.0734083343327,181.629385025892
Deaths,Male,45-49,2000,1004.526952909372,1457.5812339025406,636.8654926705457
Deaths,Female,45-49,2000,577.3067894670384,866.0129634882137,341.8321037672348
Deaths,Male,50-54,2000,1582.647203689064,2297.4584553548634,992.7070869841016
Deaths,Female,50-54,2000,843.1540187614005,1290.450148842925,501.0130221162474
Deaths,Male,55-59,2000,2240.8618601713,3202.9843519706237,1421.01344371316
Deaths,Female,55-59,2000,1196.0223178928686,1810.8537842683268,715.7759419536918
Deaths,Male,60-64,2000,2776.276240009616,3915.5302057792906,1782.4217554963875
Deaths,Female,60-64,2000,1854.4192518785771,2713.1590409221058,1182.9624998013978
Deaths,Male,65-69,2000,3923.347848172041,5422.533588236236,2595.571438291417
Deaths,Female,65-69,2000,2411.07374363419,3386.120754145335,1582.4640033619205
Deaths,Male,70-74,2000,4164.615999236903,5775.873718588189,2910.952046696685
Deaths,Female,70-74,2000,3215.597204606919,4335.0542897041,2200.0132006871263
Deaths,Male,75-79,2000,3281.2116188218856,4512.366521645145,2324.772715053433
Deaths,Female,75-79,2000,4568.156806718286,6057.510572343282,3228.17117201041
Deaths,Male,15-49,2000,2454.7692831193044,3450.547195612782,1651.8813342069325
Deaths,Female,15-49,2000,1404.2716263131056,2150.4879436846472,821.2469259333889
Deaths,Male,50-69,2000,10523.133152042015,14786.539554375187,6823.083771819592
Deaths,Female,50-69,2000,6304.669332167041,9247.534863232282,4013.8787142667
Deaths,Male,80-84,2000,2828.072614372348,3702.641903301227,2092.3199102912567
Deaths,Female,80-84,2000,4153.336084788296,5338.748477308476,3069.7911970646314
Deaths,Male,85-89,2000,1541.4580793253888,1978.0685136271115,1198.492457209609
Deaths,Female,85-89,2000,2812.024099218998,3525.4491502021447,2102.9413617740543
Deaths,Male,90-94,2000,582.9105561674554,743.9965206427543,449.54430287864
